[23.03.2019 | 20:33:36] [A] Jake_Toren[3] Купил дом по госу [ID: 400] за 1000000$!
[23.03.2019 | 20:34:13] [A] Jake_Toren[3] Купил дом по госу [ID: 399] за 750000$!
[23.03.2019 | 20:50:01] [A] Jake_Toren[3] Купил дом по госу [ID: 399] за 750000$!
[23.03.2019 | 20:53:44] [A] Jake_Toren[3] Купил дом по госу [ID: 399] за 750000$!
[23.03.2019 | 21:01:37] [A] Jake_Toren[3] Купил дом по госу [ID: 305] за 1000000$!
[23.03.2019 | 21:01:45] [A] Jake_Toren[3] Продал дом в гос [ID: 305] за 500000$!
[23.03.2019 | 16:32:06] [A] Администратор Jake_Toren[4] продал дом в гос [ID: 1]
[23.03.2019 | 18:52:39] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 5]
[23.03.2019 | 18:52:41] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 5]
[23.03.2019 | 19:00:49] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 3]
[23.03.2019 | 20:27:02] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[23.03.2019 | 20:29:27] [A] Jake_Toren[3] продал дом игроку Will_Hungerson[4] [ID: 1] за 10000$!
[23.03.2019 | 20:32:12] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[23.03.2019 | 20:34:03] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 651]
[23.03.2019 | 22:08:27] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[23.03.2019 | 22:35:35] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[23.03.2019 | 22:35:38] [A] Jake_Toren[3] купил дом по госу [ID: 229] за 1000000$!
[23.03.2019 | 22:36:01] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 229]
[23.03.2019 | 22:47:38] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[24.03.2019 | 00:22:43] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[24.03.2019 | 00:24:42] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[24.03.2019 | 10:54:47] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[24.03.2019 | 11:21:25] [A] Администратор Jake_Toren сделал вайп всех домов.
[24.03.2019 | 14:12:15] [A] Jake_Toren[0] купил дом по госу [ID: 1] за 750000$!
[24.03.2019 | 14:12:32] [A] Jake_Toren[0] продал дом в гос [ID: 1] за 375000$!
[24.03.2019 | 14:19:54] [A] Jake_Toren[0] купил дом по госу [ID: 40] за 750000$!
[24.03.2019 | 14:20:09] [A] Администратор Jake_Toren[0] продал дом в гос [ID: 40]
[24.03.2019 | 14:20:17] [A] Jake_Toren[0] купил дом по госу [ID: 1] за 750000$!
