[23.03.2019 | 20:48:52] [A] Jake_Toren[3] Выдал игроку Jake_Toren[3] 9$
[23.03.2019 | 20:49:02] [A] Jake_Toren[3] Выдал игроку Jake_Toren[3] 999999$
[23.03.2019 | 20:50:01] [A] Jake_Toren[3] Купил дом по госу [ID: 399] за 750000$!
[23.03.2019 | 20:50:22] [A] Jake_Toren[3] Продал бизнес в гос [ID: 1] за 2125000$!
[23.03.2019 | 20:51:12] [A] Jake_Toren[3] Продал бизнес в гос [ID: 20] за 1500000$!
[23.03.2019 | 20:51:23] [A] Jake_Toren[3] Продал бизнес в гос [ID: 5] за 1875000$!
[23.03.2019 | 20:52:15] [A] Jake_Toren[3] Продал бизнес в гос [ID: 105] за 1000000$!
[23.03.2019 | 20:53:44] [A] Jake_Toren[3] Купил дом по госу [ID: 399] за 750000$!
[23.03.2019 | 20:58:40] [A] Jake_Toren[3] Купил бизнес по госу [ID: 20] за 3000000$!
[23.03.2019 | 20:58:46] [A] Jake_Toren[3] Продал бизнес в гос [ID: 20] за 1500000$!
[23.03.2019 | 21:01:16] [A] Jake_Toren[3] Купил бизнес по госу [ID: 1] за 4250000$!
[23.03.2019 | 21:01:37] [A] Jake_Toren[3] Купил дом по госу [ID: 305] за 1000000$!
[23.03.2019 | 21:01:45] [A] Jake_Toren[3] Продал дом в гос [ID: 305] за 500000$!
[23.03.2019 | 21:01:55] [A] Jake_Toren[3] Выдал игроку Jake_Toren[3] 1410065407$
[23.03.2019 | 21:01:57] [A] Jake_Toren[3] Выдал игроку Jake_Toren[3] 1410065407$
[23.03.2019 | 15:45:21]  Администратор Jake_Toren забанил в оффлайне игрока Test_Name. Причина: 1
[23.03.2019 | 15:45:28]  Администратор Jake_Toren забанил в оффлайне игрока Test_Name1. Причина: 1
[23.03.2019 | 15:45:46] Администратор Jake_Toren разбанил игрока Test_Name
[23.03.2019 | 15:45:48] Администратор Jake_Toren разбанил игрока Test_Name1
[23.03.2019 | 15:55:19] [A] Администратор Jake_Toren[3] Продал бизнес в гос [ID: 500]
[23.03.2019 | 15:55:37] [A] Администратор Jake_Toren[3] Продал бизнес в гос [ID: 500]
[23.03.2019 | 15:56:09] [A] Администратор Jake_Toren[3] Продал авто в гос [ID: 1]
[23.03.2019 | 15:56:11] [A] Администратор Jake_Toren[3] Продал авто в гос [ID: 2]
[23.03.2019 | 15:56:12] [A] Администратор Jake_Toren[3] Продал авто в гос [ID: 3]
[23.03.2019 | 15:56:13] [A] Администратор Jake_Toren[3] Продал авто в гос [ID: 4]
[23.03.2019 | 15:56:14] [A] Администратор Jake_Toren[3] Продал авто в гос [ID: 5]
[23.03.2019 | 15:56:54] [A] Администратор Jake_Toren[3] Продал авто в гос [ID: 11]
[23.03.2019 | 16:03:21] [A] Jake_Toren[3] Выдал игроку Jake_Toren[3] 9999999$
[23.03.2019 | 16:13:54] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 1]
[23.03.2019 | 16:14:49] [A] Jake_Toren[3] купил авто по госу Cadrona[49000] за $!
[23.03.2019 | 16:18:02] [A] Jake_Toren[3] купил авто по госу Cadrona[2] за 49000$!
[23.03.2019 | 16:32:06] [A] Администратор Jake_Toren[4] продал дом в гос [ID: 1]
[23.03.2019 | 16:32:15] [A] Администратор Jake_Toren[4] продал авто в гос [ID: 1]
[23.03.2019 | 16:32:17] [A] Администратор Jake_Toren[4] продал бизнес в гос [ID: 1]
[23.03.2019 | 16:32:24] [A] Jake_Toren[4] купил авто по госу Cadrona[4] за 49000$!
[23.03.2019 | 16:32:54] [A] Jake_Toren[4] выдал игроку Will_Hungerson[3] 1215752191$
[23.03.2019 | 16:33:53] [A] Will_Hungerson[3] продал авто игроку Jake_Toren[4] за 0$!
[23.03.2019 | 16:34:53] [A] Администратор Will_Hungerson[3] продал авто в гос [ID: 4]
[23.03.2019 | 16:43:08] [A] Jake_Toren[3] купил авто по госу Cadrona[1] за 49000$!
[23.03.2019 | 16:43:17] [A] Jake_Toren[3] продал авто игроку Will_Hungerson[4] за 0$!
[23.03.2019 | 16:43:39] [A] Администратор Will_Hungerson[4] продал авто в гос [ID: 1]
[23.03.2019 | 16:44:09] [A] Jake_Toren[3] купил авто по госу Cadrona[1] за 49000$!
[23.03.2019 | 16:49:10] [A] Jake_Toren[3] продал авто игроку Will_Hungerson[4] за 10000$!
[23.03.2019 | 16:50:27] [A] Will_Hungerson[4] продал авто игроку Jake_Toren[3] за 25000$!
[23.03.2019 | 17:05:33] [A] Jake_Toren[3] выдал игроку Paul_Brown[4] 10000$
[23.03.2019 | 17:07:10] [A] Jake_Toren[3] продал авто игроку Paul_Brown[4] Cadrona[1] за 10000$!
[23.03.2019 | 17:17:26] [A] Jake_Toren[3] обменялся авто с игроком Paul_Brown[4] | Cadrona[2] на Cadrona[1] доплата 10$!
[23.03.2019 | 17:23:33] [A] Jake_Toren[3] выдал игроку Paul_Brown[4] 999999$
[23.03.2019 | 17:23:35] [A] Jake_Toren[3] выдал игроку Paul_Brown[4] 99999999$
[23.03.2019 | 17:23:39] [A] Paul_Brown[4] купил авто по госу NRG-500[10] за 1000000$!
[23.03.2019 | 17:23:53] [A] Jake_Toren[3] обменялся авто с игроком Paul_Brown[4] | NRG-500[10] на Cadrona[1] доплата 228228$!
[23.03.2019 | 17:26:57] [A] Jake_Toren[3] обменялся авто с игроком Paul_Brown[4] | NRG-500[10] на Cadrona[1] доплата 10000$!
[23.03.2019 | 17:31:49] Администратор Jake_Toren[3] ответил игроку Paul_Brown[4]:{ffffff} Странно, ща
[23.03.2019 | 17:38:40] Администратор Jake_Toren[4] ответил игроку Paul_Brown[3]:{ffffff} Знаю, щас чекну щас ли норм
[23.03.2019 | 17:48:19] [A] Jake_Toren[3] продал авто в гос Maverick[104] за 650000$!
[23.03.2019 | 18:26:44] [A] Jake_Toren[3] купил скин [ID: 200] у игрока Jake_Toren[3] за 10000$!
[23.03.2019 | 18:52:39] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 5]
[23.03.2019 | 18:52:41] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 5]
[23.03.2019 | 18:52:47] [A] Администратор Jake_Toren[3] продал бизнес в гос [ID: 6]
[23.03.2019 | 18:52:49] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 7]
[23.03.2019 | 18:54:07] Администратор Jake_Toren[3] ответил игроку Jake_Toren[3]:{ffffff} q
[23.03.2019 | 18:55:49]  Администратор Jake_Toren[3] кикнул игрока [0]. Причина: 1
[23.03.2019 | 18:58:53] [A] Jake_Toren[3] выдал игроку Volt_Vegas[0] 999999$
[23.03.2019 | 18:59:39] [A] Jake_Toren[3] продал скин [ID: 200] игроку Volt_Vegas[0] за 10000$!
[23.03.2019 | 19:00:15] [A] Jake_Toren[3] продал скин [ID: 296] игроку Volt_Vegas[0] за 10000$!
[23.03.2019 | 19:00:41] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 1]
[23.03.2019 | 19:00:42] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 2]
[23.03.2019 | 19:00:43] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 3]
[23.03.2019 | 19:00:46] [A] Администратор Jake_Toren[3] продал бизнес в гос [ID: 3]
[23.03.2019 | 19:00:49] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 3]
[23.03.2019 | 19:33:11] [A] Jake_Toren[3] продал скин [ID: 200] игроку Jake_Toren[3] за 1000$!
[23.03.2019 | 19:35:14] [A] Jake_Toren[3] продал скин [ID: 25] игроку Jake_Toren[3] за 2000$!
[23.03.2019 | 19:38:17] Администратор Jake_Toren забанил в оффлайне игрока Test. Причина: 1
[23.03.2019 | 19:38:33]  Администратор Jake_Toren[3] кикнул игрока Volt_Vegas[4]. Причина: офф серв
[23.03.2019 | 20:27:02] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[23.03.2019 | 20:27:23] [A] Jake_Toren[3] выдал игроку Will_Hungerson[4] 99999999$
[23.03.2019 | 20:27:33] 
[23.03.2019 | 20:29:27] [A] Jake_Toren[3] продал дом игроку Will_Hungerson[4] [ID: 1] за 10000$!
[23.03.2019 | 20:29:44] [A] Jake_Toren[3] выдал игроку Jake_Toren[3] 9999999$
[23.03.2019 | 20:29:49] [A] Jake_Toren[3] купил бизнес по госу [ID: 1] за 4250000$!
[23.03.2019 | 20:30:34] [A] Jake_Toren[3] продал бизнес игроку Will_Hungerson[4] [ID: 1] за 228228$!
[23.03.2019 | 20:31:02] [A] Will_Hungerson[4] продал бизнес в гос [ID: 1] за 2125000$!
[23.03.2019 | 20:31:17] Администратор Will_Hungerson[4] забанил игрока Jake_Toren[3] на 30 дней. Причина: Хз
[23.03.2019 | 20:31:27] Администратор Jake_Toren разбанил игрока Jake_Toren
[23.03.2019 | 20:31:44] Забанен: Jake_Toren. IP: 127.0.0.1. REGIP: 95.135.94.253
[23.03.2019 | 20:32:12] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[23.03.2019 | 20:32:14] [A] Администратор Jake_Toren[3] продал бизнес в гос [ID: 1]
[23.03.2019 | 20:32:17] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 1]
[23.03.2019 | 20:34:03] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 651]
[23.03.2019 | 22:08:27] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[23.03.2019 | 22:09:03] [A] Jake_Toren[3] купил авто по госу Cadrona[1] за 49000$!
[23.03.2019 | 22:35:35] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[23.03.2019 | 22:35:38] [A] Jake_Toren[3] купил дом по госу [ID: 229] за 1000000$!
[23.03.2019 | 22:36:01] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 229]
[23.03.2019 | 22:47:38] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[24.03.2019 | 00:22:43] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[24.03.2019 | 00:24:42] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[24.03.2019 | 10:54:47] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[24.03.2019 | 11:21:25] [A] Администратор Jake_Toren сделал вайп всех домов.
[24.03.2019 | 11:21:41] Администратор Jake_Toren[3] ответил игроку Jake_Toren[3]:{ffffff} Пошол нохуй
[24.03.2019 | 11:24:45] [A] Jake_Toren[3] купил бизнес по госу [ID: 71] за 2000000$!
[24.03.2019 | 11:25:19] [A] Jake_Toren[3] продал бизнес в гос [ID: 71] за 1000000$!
[24.03.2019 | 14:12:15] [A] Jake_Toren[0] купил дом по госу [ID: 1] за 750000$!
[24.03.2019 | 14:12:32] [A] Jake_Toren[0] продал дом в гос [ID: 1] за 375000$!
[24.03.2019 | 14:14:32] [A] Jake_Toren[0] купил авто по госу NRG-500[127] за 1000000$!
[24.03.2019 | 14:19:54] [A] Jake_Toren[0] купил дом по госу [ID: 40] за 750000$!
[24.03.2019 | 14:20:09] [A] Администратор Jake_Toren[0] продал дом в гос [ID: 40]
[24.03.2019 | 14:20:17] [A] Jake_Toren[0] купил дом по госу [ID: 1] за 750000$!
[24.03.2019 | 14:39:38] [A] Администратор Jake_Toren[0] продал авто в гос [ID: 1]
[24.03.2019 | 15:04:56] [A] Jake_Toren[3] выдал игроку Jake_Toren[3] 999999$
[24.03.2019 | 15:04:59] [A] Jake_Toren[3] выдал игроку Jake_Toren[3] 9999999$
[24.03.2019 | 15:05:02] [A] Jake_Toren[3] купил бизнес по госу [ID: 1] за 4250000$!
[24.03.2019 | 18:04:06] [A] Админинистратор Jake_Toren назначил игрока Olejka_Okoner админом 5-го уровня
[24.03.2019 | 18:04:15] Администратор Jake_Toren[9] ответил игроку Olejka_Okoner[4]:{ffffff} ок
[24.03.2019 | 18:04:24] Администратор Jake_Toren[9] ответил игроку Stefan_Wilson[7]:{ffffff} Это из за того что базу чистил
[24.03.2019 | 18:04:34] [A] Админинистратор Jake_Toren назначил игрока Stefan_Wilson админом 5-го уровня
[24.03.2019 | 18:04:37] [A] Админинистратор Jake_Toren назначил игрока Lee_Dipsize админом 5-го уровня
[24.03.2019 | 18:04:57] [A] Админинистратор Jake_Toren назначил игрока Richard_Haunted админом 5-го уровня
[24.03.2019 | 18:04:58] Администратор Lee_Dipsize[5] ответил игроку Richard_Haunted[6]:{ffffff} ok
[24.03.2019 | 18:05:43] [A] Админинистратор Jake_Toren назначил игрока Elizabeth_Norea админом 5-го уровня
[24.03.2019 | 18:07:11] Администратор Elizabeth_Norea[8] ответил игроку Elizabeth_Norea[8]:{ffffff} Всем выдадут
[24.03.2019 | 18:07:12] [A] Админинистратор Jake_Toren назначил игрока Bogdan_Jefferson админом 5-го уровня
[24.03.2019 | 18:07:18] Администратор Elizabeth_Norea[8] ответил игроку Doni_Moore[13]:{ffffff} Всем выдадут
[24.03.2019 | 18:07:23] Администратор Elizabeth_Norea[8] ответил игроку Lee_Dipsize[5]:{ffffff} Ожидайте
[24.03.2019 | 18:07:28] Администратор Elizabeth_Norea[8] ответил игроку Bogdan_Jefferson[10]:{ffffff} Ожидайте
[24.03.2019 | 18:08:05] [A] Админинистратор Jake_Toren назначил игрока Anton_Kovalskiy админом 5-го уровня
[24.03.2019 | 18:08:31] [A] Админинистратор Jake_Toren назначил игрока Doni_Moore админом 5-го уровня
[24.03.2019 | 18:08:41] [A] Админинистратор Jake_Toren назначил игрока Pablo_Chacon админом 5-го уровня
[24.03.2019 | 18:08:53] [A] Jake_Toren[9] выдал игроку Jake_Toren[9] 999999$
[24.03.2019 | 18:08:54] [A] Jake_Toren[9] выдал игроку Jake_Toren[9] 99999999$
[24.03.2019 | 18:09:27] [A] Jake_Toren[9] купил бизнес по госу [ID: 48] за 2000000$!
[24.03.2019 | 18:12:16] [A] Anton_Kovalskiy[6] тихо кикнул игрока Bogdan_Jefferson [ID:10]
[24.03.2019 | 18:12:45] [A] Админинистратор Jake_Toren назначил игрока Jhon_Makaveli админом 5-го уровня
[24.03.2019 | 18:13:13] Администратор Doni_Moore[13] забанил игрока Jhon_Makaveli[3] на 30 дней. Причина: чит
[24.03.2019 | 18:13:35] Администратор Doni_Moore[13] забанил игрока Bogdan_Jefferson[4] на 30 дней. Причина: чит
[24.03.2019 | 18:13:56] Администратор Jake_Toren разбанил игрока Bogdan_Jefferson
[24.03.2019 | 18:13:59] Администратор Jake_Toren разбанил игрока Jhon_Makaveli
[24.03.2019 | 18:14:21] [A] Doni_Moore[13] тихо кикнул игрока Jake_Toren [ID:9]
[24.03.2019 | 18:17:29] [A] Админинистратор Jake_Toren назначил игрока Doni_Moore админом 5-го уровня
[24.03.2019 | 18:21:10] Администратор Pablo_Chacon[6] ответил игроку Pablo_Chacon[6]:{FFFFFF} 1
[24.03.2019 | 21:07:14] [A] Jake_Toren[3] купил бизнес по госу [ID: 126] за 2000000$!
[24.03.2019 | 21:14:24] [A] Администратор Jake_Toren[3] продал бизнес в гос [ID: 126]
[24.03.2019 | 21:19:50] [A] Jake_Toren[3] купил бизнес по госу [ID: 128] за 35000$!
[24.03.2019 | 22:05:32] [A] Jake_Toren[3] купил бизнес по госу [ID: 127] за 2000000$!
[24.03.2019 | 22:05:57] [A] Jake_Toren[3] купил бизнес по госу [ID: 126] за 3750000$!
[24.03.2019 | 22:06:40] [A] Jake_Toren[3] продал бизнес в гос [ID: 127] за 1000000$!
[24.03.2019 | 22:06:46] [A] Jake_Toren[3] продал бизнес в гос [ID: 126] за 1875000$!
[24.03.2019 | 22:06:52] [A] Jake_Toren[3] купил бизнес по госу [ID: 130] за 3000000$!
[24.03.2019 | 22:07:15] [A] Jake_Toren[3] продал бизнес в гос [ID: 130] за 1500000$!
[24.03.2019 | 22:07:27] [A] Jake_Toren[3] купил бизнес по госу [ID: 131] за 5250000$!
[24.03.2019 | 22:07:57] [A] Jake_Toren[3] купил бизнес по госу [ID: 132] за 3750000$!
[26.03.2019 | 00:45:01] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[26.03.2019 | 00:45:36] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[26.03.2019 | 00:45:47] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 1]
[27.03.2019 | 16:45:52] [A] Jake_Toren[3] купил авто по госу Bullet[149] за 3400000$!
[27.03.2019 | 22:19:30] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:19:32] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 1]
[27.03.2019 | 22:19:33] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 2]
[27.03.2019 | 22:20:02] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:07] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:08] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:08] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:09] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:10] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:10] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:10] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:11] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:11] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:12] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[27.03.2019 | 22:20:12] [A] Администратор Jake_Toren[3] продал биллборд в гос [ID: 0]
[6.04.2019 | 17:23:41] [A] Jake_Toren[3] купил бизнес по госу [ID: 5] за 3750000$!
[6.04.2019 | 17:23:58] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[6.04.2019 | 17:24:01] [A] Jake_Toren[3] купил дом по госу [ID: 5] за 750000$!
[6.04.2019 | 17:25:16] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[6.04.2019 | 17:25:20] [A] Администратор Jake_Toren[3] продал бизнес в гос [ID: 1]
[6.04.2019 | 17:25:25] [A] Администратор Jake_Toren[3] продал авто в гос [ID: 1]
[6.04.2019 | 20:28:16] Администратор Jake_Toren[3] заглушил игрока Jake_Toren[3] на 1 минут. Причина: 1
[6.04.2019 | 20:29:31] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 5]
[6.04.2019 | 20:29:35] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[6.04.2019 | 20:32:13] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[6.04.2019 | 20:32:18] [A] Jake_Toren[3] купил дом по госу [ID: 2] за 750000$!
[6.04.2019 | 20:34:27] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 2]
[6.04.2019 | 20:34:29] [A] Jake_Toren[3] купил дом по госу [ID: 1] за 750000$!
[6.04.2019 | 20:34:59] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 1]
[6.04.2019 | 20:35:07] [A] Jake_Toren[3] купил дом по госу [ID: 114] за 750000$!
[6.04.2019 | 22:15:59] [A] Администратор Jake_Toren сделал вайп всех домов.
[6.04.2019 | 22:16:00] [A] Администратор Jake_Toren сделал вайп всех домов.
[6.04.2019 | 22:16:04] [A] Администратор Jake_Toren сделал вайп всех бизнесов.
[6.04.2019 | 22:16:08] [A] Администратор Jake_Toren сделал вайп всех автомобилей.
[9.04.2019 | 17:18:39] [A] Jake_Toren[3] купил дом по госу [ID: 546] за 750000$!
[9.04.2019 | 17:21:12] [A] Jake_Toren[3] продал дом в гос [ID: 546] за 375000$!
[9.04.2019 | 17:21:17] [A] Jake_Toren[3] купил дом по госу [ID: 546] за 750000$!
[9.04.2019 | 20:01:57] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 546]
[9.04.2019 | 20:02:03] [A] Jake_Toren[3] купил дом по госу [ID: 545] за 750000$!
[9.04.2019 | 20:24:03] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 545]
[9.04.2019 | 20:24:06] [A] Jake_Toren[3] купил дом по госу [ID: 546] за 750000$!
[9.04.2019 | 20:24:09] [A] Администратор Jake_Toren[3] продал дом в гос [ID: 545]
[9.04.2019 | 20:37:04] [A] Jake_Toren[3] продал дом в гос [ID: 546] за 375000$!
[9.04.2019 | 20:37:21] [A] Jake_Toren[3] купил дом по госу [ID: 228] за 750000$!
[9.04.2019 | 20:44:28] [A] Jake_Toren[3] продал дом в гос [ID: 228] за 375000$!
[9.04.2019 | 20:44:33] [A] Jake_Toren[3] купил дом по госу [ID: 228] за 750000$!
[9.04.2019 | 20:44:37] [A] Jake_Toren[3] продал дом в гос [ID: 228] за 375000$!
[9.04.2019 | 20:44:41] [A] Jake_Toren[3] купил дом по госу [ID: 228] за 750000$!
[9.04.2019 | 22:37:42] [A] Админинистратор Jake_Toren назначил игрока Alex_Ross админом 8-го уровня
[15.04.2019 | 21:29:10] [A] Jake_Toren[3] купил авто по госу Bullet[147] за 3400000$!
[15.04.2019 | 21:29:14] [A] Jake_Toren[3] продал авто в гос Bullet[147] за 1700000$!
[15.04.2019 | 21:31:53] [A] Jake_Toren[3] купил авто по госу Bullet[147] за 3400000$!
[15.04.2019 | 21:31:56] [A] Jake_Toren[3] продал авто в гос Bullet[147] за 1700000$!
